name,length,origin,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly,eye_color,category,vocality
Abyssinian,1,15,9,15,6,10,3,3,2,5,5,3,5,5,1,1,60
Aegean,2,8,9,10,7,10,5,3,4,4,5,4,4,3,1,1,50
American Bobtail,2,19,11,15,8,13,4,4,4,4,4,3,4,4,5,2,50
American Shorthair,1,19,15,20,7,12,3,3,4,2,4,4,4,3,2,0,40
American Wirehair,2,19,14,18,8,15,4,3,5,3,4,5,4,3,5,2,40
Aphrodite Giant,3,5,12,15,11,24,4,4,3,4,5,2,4,4,2,2,30
Arabian Mau,2,13,12,14,8,16,4,2,4,4,4,5,4,3,1,1,40
Asian,2,18,15,15,10,10,5,1,4,4,5,3,4,4,2,2,100
Australian Mist,2,1,15,18,8,15,5,2,4,4,4,4,4,3,2,2,50
Bambino,1,19,9,15,4,9,4,1,3,4,4,2,3,3,1,1,40
Bengal Cats,2,19,10,16,8,17,5,2,3,5,5,4,5,5,2,1,40
Birman,1,18,12,16,6,12,5,3,2,4,5,2,4,5,2,1,30
Bombay,1,19,12,20,8,15,4,2,4,4,4,4,4,4,1,2,30
Brazilian Shorthair,2,2,14,20,10,22,4,1,3,4,5,4,4,4,5,2,30
British Longhair,2,18,15,17,9,18,4,4,3,3,4,2,4,3,1,0,30
British Shorthair,2,18,12,17,7,17,3,3,4,2,4,4,3,5,5,2,30
Burmese,2,18,10,16,8,12,5,2,2,4,5,5,5,4,2,1,100
Burmilla,2,18,10,15,6.5,13,4,3,3,5,4,4,3,4,1,1,80
California Spangled,2,19,9,16,8,15,4,2,4,4,4,5,4,3,2,2,40
Chantilly-Tiffany,2,19,7,16,6,12,4,3,4,4,4,2,4,3,2,0,20
Chausie,2,6,12,14,15,30,4,1,4,4,1,5,5,4,1,2,30
Colorpoint Shorthair,1,18,12,17,5,10,5,2,2,5,4,4,4,4,2,1,100
Cornish Rex,1,18,11,15,6,10,5,2,3,5,5,5,4,5,2,1,70
Cyprus,2,5,12,15,8,16,4,2,4,5,4,4,4,4,2,1,50
Devon Rex,1,18,9,15,5,10,5,1,1,4,5,5,4,4,5,1,60
Donskoy,2,12,12,15,6,15,4,1,3,4,4,2,4,4,5,1,60
European Shorthair,2,10,15,20,8,15,4,2,4,4,5,5,4,4,2,2,20
Foldex,2,3,12,15,5,14,5,3,4,4,5,3,4,4,2,1,20
German Rex,1,7,9,14,5,8,4,2,3,4,4,2,4,4,5,1,50
Highlander,2,19,10,15,10,20,4,2,4,4,4,3,4,5,2,2,20
Japanese Bobtail,2,4,9,15,6,10,5,3,4,5,5,4,4,5,5,1,60
Javanese,2,19,10,15,5,10,5,3,2,4,4,4,4,4,1,1,100
Khao Manee,1,16,10,12,8,10,4,1,3,5,5,4,4,4,5,1,40
Kurilian Bobtail,2,12,15,20,8,15,4,2,3,4,4,5,4,4,5,2,60
Lykoi,1,19,12,15,4,7,4,4,3,4,4,2,5,3,2,1,30
Maine Coon,3,19,9,15,9,18,3,4,3,4,5,4,4,5,4,2,30
Manx,1,18,8,14,8,12,4,3,3,3,2,3,4,2,1,0,80
Mekong Bobtail,1,15,15,18,8,10,4,2,3,4,4,5,4,4,1,2,60
Nebelung,2,19,11,18,7,15,4,4,4,4,2,2,4,3,1,0,40
Oriental Bicolor,2,19,8,12,8,12,4,1,3,4,5,4,4,3,1,1,100
Persian,1,9,10,15,7,12,3,5,2,2,2,2,3,2,4,0,20
Peterbald,2,12,12,15,6,10,5,1,3,4,4,2,3,4,2,1,80
Pixie-Bob,2,19,13,15,8,17,5,4,5,4,5,2,4,4,2,2,20
Ragdoll Cats,3,19,12,17,10,20,5,4,3,4,5,1,4,4,2,2,40
Russian Blue,1,12,10,15,7,15,4,4,4,2,3,2,4,4,1,0,20
Savannah,3,19,17,20,8,20,4,3,5,5,4,4,5,5,1,2,20
Scottish Fold,1,18,11,14,6,13,5,3,3,3,5,2,4,4,4,1,20
Serengeti,2,19,10,15,8,15,4,1,3,4,4,4,4,4,2,1,100
Siamese Cat,2,16,8,15,6,14,5,2,3,4,4,4,5,4,2,1,20
Siberian,2,12,11,18,8,17,5,4,4,5,5,2,4,4,2,2,40
Singapura,1,14,11,15,4,7,5,2,4,4,4,4,5,4,1,1,40
Snowshoe,2,19,14,19,7,12,5,3,5,5,5,5,5,4,2,2,80
Sokoke,2,11,9,15,6,10,4,1,3,4,5,4,4,4,2,1,60
Somali,1,19,11,16,6,10,5,4,2,5,5,3,5,5,1,1,20
Sphynx,1,3,8,14,6,12,5,1,2,4,5,2,4,5,2,1,80
Tonkinese,1,19,10,16,6,12,5,2,2,5,5,4,5,4,4,1,80
Toyger,2,19,10,15,7,15,5,1,3,4,4,4,4,4,4,1,40
Turkish Angora,2,17,12,18,5,9,5,2,3,5,3,4,4,3,4,1,20
Turkish Van,3,17,12,17,10,18,3,2,4,4,3,4,5,3,2,2,80
Ukrainian Levkoy,2,12,9,15,8,12,5,1,3,4,5,2,5,4,1,1,60
York Chocolate,2,19,13,15,10,18,4,4,3,4,4,2,4,3,2,0,100
